alcance,region,plantel,programa,nivel,modalidad,plan,modulo,tier,precio,precio_por_materia,activo,notas
plantel + tier,Región 1,Chihuahua,,preparatoria,presencial,9,,T2,1890,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 1,Tijuana,,preparatoria,presencial,6,,T3,3087,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 2,Torreón,,preparatoria,presencial,6,,T2,3087,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 3,Querétaro,,preparatoria,presencial,6,,T2,3087,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 3,Querétaro,,preparatoria,presencial,9,,T2,2058,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 3,Zacatecas,,preparatoria,presencial,6,,T2,3087,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 3,Cd. Mante,,preparatoria,presencial,6,,T1,2754,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 1,Culiacán,,preparatoria,presencial,9,,T2,2058,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 1,Hermosillo,,preparatoria,presencial,6,,T3,3087,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 1,Hermosillo,,preparatoria,presencial,9,,T3,2058,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel + tier,Región 2,Nogales,,preparatoria,presencial,6,,T2,3087,,Activo,Fuente: Bachillerato; ciclo C3 2026.
plantel,Online,Online,,preparatoria,online,6,,OL,1935,,Activo,Fuente: Bachillerato Online; ciclo C3 2026.
plantel + tier,Región 1,Aguascalientes,,licenciatura,presencial,11,,T1,3268,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Aguascalientes,,licenciatura,presencial,9,,T1,4085,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Chihuahua,,licenciatura,presencial,11,,T2,3336,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Chihuahua,,licenciatura,presencial,9,,T2,4170,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Culiacán,,licenciatura,presencial,11,,T2,3708,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Culiacán,,licenciatura,presencial,9,,T2,4635,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Hermosillo,,licenciatura,presencial,11,,T3,3976,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Hermosillo,,licenciatura,presencial,9,,T3,4970,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
plantel + tier,Región 1,Querétaro,,licenciatura,presencial,11,,T2,3708,,Activo,Fuente: Licenciatura escolarizada; ciclo C3 2026.
