Ciclo,Plantel,Programa,Línea,Modalidad,Plan,Módulo,No. de módulos,Materias por módulo,Horario escolarizado,Horario ejecutivo,Estado
C3,Aguascalientes,BACHILLERATO GENERAL - FORMACIÓN EN ADMINISTRACIÓN ( 2 AÑOS),preparatoria,presencial,6,Longitudinal,,,,,Activo
C3,Aguascalientes,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Aguascalientes,LICENCIATURA EN DERECHO,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Aguascalientes,LICENCIATURA EN PEDAGOGIA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Aguascalientes,LICENCIATURA EN INGENIERIA EN SISTEMAS COMPUTACIONALES,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Aguascalientes,INDUSTRIAL Y DE SISTEMAS,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Aguascalientes,LICENCIATURA EN MERCADOTECNIA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Aguascalientes,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C3,Aguascalientes,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C3,Aguascalientes,LICENCIATURA EN NUTRICION,salud,presencial,12,Longitudinal,,,,,Activo
C3,Aguascalientes,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Chihuahua,BACHILLERATO GENERAL - FORMACIÓN EN ADMINISTRACIÓN,preparatoria,presencial,6,Longitudinal,,,,,Activo
C3,Chihuahua,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Chihuahua,LICENCIATURA EN DERECHO,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Chihuahua,LICENCIATURA EN PEDAGOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Chihuahua,LICENCIATURA EN PEDAGOGIA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Chihuahua,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C3,Chihuahua,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C3,Chihuahua,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Chihuahua,INGENIERIA INDUSTRIAL Y DE SISTEMAS,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Chihuahua,LICENCIATURA EN CRIMINALISTICA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Culiacán,BACHILLERATO,preparatoria,presencial,6,Longitudinal,,,,,Activo
C3,Culiacán,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Culiacán,LICENCIATURA EN CONTADURIA PÚBLICA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Culiacán,LICENCIATURA EN DERECHO,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Culiacán,LICENCIATURA EN PEDAGOGIA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Culiacán,INGENIERIA SISTEMAS COMPUTACIONALES,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Culiacán,INGENIERIA INDUSTRIAL Y DE SISTEMAS,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Culiacán,LICENCIATURA EN ENFERMERIA,salud,presencial,12,Longitudinal,,,,,Activo
C3,Culiacán,LICENCIATURA EN FISIOTERAPIA,salud,presencial,12,Longitudinal,,,,,Activo
C3,Culiacán,LICENCIATURA EN PSICOLOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Culiacán,LICENCIATURA EN COMERCIO INTERNACIONAL,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Hermosillo,BACHILLERATO GENERAL - FORMACIÓN EN ADMINISTRACIÓN 2 Y 3 AÑOS,preparatoria,presencial,6,Longitudinal,,,,,Activo
C3,Hermosillo,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN ARQUITECTURA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN COMERCIO INTERNACIONAL,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN CONTADURIA PUBLICA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN DERECHO,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN DISEÑO GRAFICO,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN MERCADOTECNIA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN PEDAGOGIA,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
C3,Hermosillo,LICENCIATURA EN INGENIERIA EN MANUFACTURA Y ROBOTICA,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Hermosillo,INGENIERIA SISTEMAS COMPUTACIONALES,licenciatura,ejecutiva,9,Modular,2,,,,Activo
C3,Hermosillo,INGENIERIA INDUSTRIAL Y DE SISTEMAS,licenciatura,presencial,"9, 11",Modular,2,,,,Activo
