linea_negocio,planteles,tipo_beneficio,tipo_ingreso,modalidad,duracion,porcentaje_adicional,estado,notas
Licenciatura,Aguascalientes,Porcentaje adicional,Nuevo ingreso,Presencial,Toda la carrera,20,Activo,Fuente fila 3 del catálogo C3 2026. Beca 20%+ Aguascalientes Lic. escolarizada °Se pierde por materias reprobadas °Se pierde por promedio abajo de 7 Se pierde si el alumno se da de baja Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BECA LIC AGUASCALIENTES 20% Soporte: Aguascalientes C3
Licenciatura,La Paz,Porcentaje adicional,Nuevo ingreso,Presencial,Toda la carrera,25,Activo,Fuente fila 4 del catálogo C3 2026. Beca 25%+ Lic presencial para toda la carrera °Se pierde por materias reprobadas °Se pierde por promedio abajo de 7 Se pierde si el alumno se da de baja Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BLICLPZ25%ADNI BECA LICENCIATURA LA PAZ 25% ADICIONAL NI ACADÉMICA LICENCIATURA LA PAZ BLICLPZ25%ADRI BECA LICENCIATURA LA PAZ 25% ADICIONAL RI ACADÉMICA LICENCIATURA LA PAZ Soporte: La Paz C3
Todas,Cd. del Carmen,Porcentaje adicional,Nuevo ingreso,Todas,Cualquiera,100,Activo,"Fuente fila 5 del catálogo C3 2026. Descuento del 100% en segunda parcialidad, ajuste de fecha de pago del °Solo aplica para el NI °Promedio de 7 para arriba. Descuento exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: Una vez cerrado el proceso de Inscripciones del ciclo C3-26 (Septiembre-Diciembre 26) se aplicará de manera manual el descuento a la 2da. parcialidad de los alumnos de NI inscritos a partir del 10 de julio y hasta el cierre del proceso de Inscripciones. El alumno podrá visualizar en su estado de cuenta el ajuste mencionado,antes de la fecha de vencimiento de la 2da. parcialidad. Los ajustes se aplicarán por parte del equipo de Finanzas Oficinas Centrales y se le notificará al plantel una vez ejecutado el proceso. Soporte: Cd. del Carmen C3"
Todas,Cd. Mante; Chihuahua; Culiacán; Hermosillo; Nogales; Querétaro; Tijuana; Torreón; Zacatecas,Porcentaje adicional,Nuevo ingreso,Presencial,Toda la carrera,10,Activo,Fuente fila 6 del catálogo C3 2026. Beca del 10% adicional a planteles con bachillerato y absorban directamente a licenciatura presencial y a ex alumnos UNIDEP Reglas °Esta beca es incremental sobre las becas académicas sujeta a promedio °Es para toda la carrera °Para planteles con prepa solo aplica para absorción directa o ex alumnos de bachillerato.que hayan dejado de estudiar. °Esta beca es vigente solo para el C3. Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BABS25%NI - BECA ABSORCIÓN 25% NI BABS25%RI - BECA ABSORCIÓN 25% RI BABS30%NI - BECA ABSORCIÓN 30% NI BABS30%RI - BECA ABSORCIÓN 30% RI BABS35%NI - BECA ABSORCIÓN 35% NI BABS35%RI - BECA ABSORCIÓN 35% RI Soporte: Beca 10% Absorción bachillerato
Todas,Tuxpan,Porcentaje adicional,Nuevo ingreso,Todas,Toda la carrera,15,Activo,"Fuente fila 15 del catálogo C3 2026. 15% adicional con beca, para inscripción del C3 para toda la carrera °Es para toda la carrera Esta beca es vigente solo para NI de C3 °Se pierde por materias reprobadas °Se pierde por promedio abajo de 7 Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BLIC15%TUXNI BECA LICENCIATURA 15%ADICIONAL TUXPAN NI ACADÉMICA LICENCIATURA TUXPAN BLIC15%TUXRI BECA LICENCIATURA 15%ADICIONAL TUXPAN RI ACADÉMICA LICENCIATURA TUXPAN Soporte: Tuxpan C3"
Licenciatura,Online,Porcentaje adicional,Nuevo ingreso,Online,1 cuatrimestre,10,Activo,Fuente fila 16 del catálogo C3 2026. 10% adicional de beca para las licenciaturas online para el primer cuatrimestre. Esta beca está sujeta a promedio desde 7 Descuento exclusivo para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. Soporte: Online 10% 1er cuatri
Licenciatura,Nogales,Porcentaje adicional,Nuevo ingreso,Presencial,1 cuatrimestre,20,Activo,"Fuente fila 17 del catálogo C3 2026. Descuento del 20% sobre la beca otorgada por promedio para nuevo ingreso en Licenciatura Escolarizada . Este descuento es solo para el primer cuatrimestre. Descuento exclusivo para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BLIC20%NOGNI BECA LICENCIATURA 20%ADICIONAL NOGALES NI ACADEMICA LICENCIATURA NOGALES 2026-1 (C3 2025) 7-7.9= 35, 8-8.9= 40, 9-10=45 BLICNOGRI BECA LICENCIATURA NOGALES RI ACADEMICA LICENCIATURA NOGALES 2026-1 (C3 2025) 7-7.9= 15, 8-8.9= 20, 9-10=25 Comparto aqui mismo la clave del reglamento puesto que ultimamente ha salido la confusion en Neotel de que viene un RE antes de la clave y se piensa que es una beca de Renovacion o Reinscipcion y aclaro que el RE es una abreviatura de REGLAMENTO. REGLAMENTO REBLIC20%NOGNI REGLAMENTO BECA LICENCIATURA 20%ADICIONAL NOGALES NI ACADEMICA LICENCIATURA NOGALES 2026-1 (C3 2025) 7-7.9= 35, 8-8.9= 40, 9-10=45 REBLICNOGRI REGLAMENTO BECA LICENCIATURA NOGALES RI ACADEMICA LICENCIATURA NOGALES 2026-1 (C3 2025) 7-7.9= 15, 8-8.9= 20, 9-10=25 Soporte: Nogales 20%+ C3"
Todas,Hermosillo,Porcentaje adicional,Nuevo ingreso,Presencial,1 cuatrimestre,15,Activo,"Fuente fila 18 del catálogo C3 2026. Beca del 15% adicional a prepa, lic. escolarizada y salud solo NI de C3 Esta beca es incremental sobre las becas académicas sujeta a promedio Esta beca es vigente solo para NI de C3. Se pierde por materias reprobadas Se pierde por promedio abajo de 7 Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026."
Todas,Todos,Porcentaje adicional,Reingreso,Todas,1 cuatrimestre,15,Activo,"Fuente fila 19 del catálogo C3 2026. Alumno embajador tendrá beca del 15% + de descuento sobre su beca durante todo el cuatrimestre, únicamente para el RI | Para Online (Lic, Posgrado) solo es del 10% ALUMNO DE NI, NO PUEDE OBTENER ESTE BENEFICIO SIENDO NI, LO PUEDE UTILIZAR SIENDO RI Vigencia: Cierre de C3 2026. Soporte: Alumno Embajador Desc. 15%+ por cuatrimestre Variante: Presencial/Ejecutiva."
Todas,Todos,Porcentaje adicional,Reingreso,Online,1 cuatrimestre,10,Activo,"Fuente fila 19 del catálogo C3 2026. Alumno embajador tendrá beca del 15% + de descuento sobre su beca durante todo el cuatrimestre, únicamente para el RI | Para Online (Lic, Posgrado) solo es del 10% ALUMNO DE NI, NO PUEDE OBTENER ESTE BENEFICIO SIENDO NI, LO PUEDE UTILIZAR SIENDO RI Vigencia: Cierre de C3 2026. Soporte: Alumno Embajador Desc. 15%+ por cuatrimestre Variante: Online."
